,no.overall,no. inseason,title,original air date,u.s. viewers(millions),description,posix time,show,season
9,203,10,"""the women tell all""","march 7, 2016 (2016-03-07)",7.48,"
seventeen of the twenty-six eliminated contestants attended the ""women tell all"" special, sitting in this particular order: lace, tiara, amber, jami, izzy, rachel, jubilee, shushanna, jennifer, lauren h., leah, olivia, becca, haley, emily, amanda and caila. several of the contestants spoke of their lives after the competition like jubilee promoted to sergeant in the united states army. lace reveals a tattoo from a bachelor fan and chris asks to join her in bachelor in paradise cast. olivia recalling a situation where olivia calls amanda a ""teen mom"". she states that she felt targeted, and revealed that she was bullied as a child. she gives amanda a heartfelt apology. caila explained her emotions when she told ben she loved him and he didn't tell her he loved her back. ben shows up to the ladies and finishes the show by stating that he is engaged to the winner and ""would marry her tomorrow"".",1457326800,bachelor,23
10,204,11,"""season finale: week 10""","march 14, 2016 (2016-03-14)",9.58,"
both lauren and jojo have an opportunity to meet ben's parents (david and amy) on a villa in jamaica where they have spent time with ben. lauren's final date involved snuggling on a catamaran and they had a picnic on a beach. jojo's final date also involved swimming in the waterfalls. ben's feelings on lauren and jojo admitting that he is falling in love with both of them, each ladies sobbing about sacrifices on a path of love after their respective dates. at the final rose ceremony, jojo came to see ben, stating how much she wanted to be with him and how in love with him she was and leaving herself blindsided that ben couldn't live without her. ben called lauren's dad to ask him for permission to take lauren's hand in marriage and he gives ben his blessing. lauren arrives, they profess their love to each other and ben kneels down on one knee and asks lauren to marry him. she accepts and ben asks, ""lauren, will you accept this rose?"", with her answer being ""yes"".",1457928000,bachelor,23
11,205,12,"""after the final rose""","march 14, 2016 (2016-03-14)",9.24,"
during the women the women tell all special, ben indicated that he would ""marry her (the winner) tomorrow"", so chris arranged for both families and ben's pastor to be on hand in case they wanted to marry on live tv. jojo came out first to face ben for the first time, ben apologized again for breaking her heart but he simply realized that he loved lauren even more than her. afterwards, chris announced her that she would be the next bachelorette. then, lauren came out and she and ben continued to profess their strong love for each other during their first public appearance and discuss her move from southern california (marina del rey) to denver, colorado to be with ben. in addition to ben's pastor and the families, jimmy kimmel appears in the audience as well, making jokes about their overnight date from week 9. they decided not to get married during the show, but ben proposed to lauren once again in front of the studio audience with their families present. they have promised to marry soon.",1457928000,bachelor,23
0,206,1,"""week 1: season 21 premiere""","january 2, 2017 (2017-01-02)",6.62,"
season 21 begins with nick meets with former bachelors sean lowe, chris soules and ben higgins at the mansion, to get advice on finding love. later that night, his journey begins as thirty single ladies have arrived, with many of them familiar with nick and his charms. christen arrives with a hand fan; lauren jokes with nick; michelle drives on an ice cream truck; olivia wears a fur coat; jasmine g. takes a present surprise that she has brought neil lane holding a present to nick; astrid and vanessa attempt to charm nick by speaking in german and french, respectively; danielle m. presents a maple syrup where her dad works in the factory; raven demonstrates a ""pig sooie"" cheer; josephine holds a book with an uncooked hotdog; lacey rides on a camel; alexis arrives wearing what she thinks is a dolphin costume but is really a shark costume, which the other girls find amusing. nick gives the first impression rose to rachel. at the rose ceremony, angela, briana, ida marie, jasmine b., lauren, michelle, olivia, and susannah are eliminated from the competition.",1483333200,bachelor,23
1,207,2,"""week 2: wedding photo shoot""","january 9, 2017 (2017-01-09)",6.54,"
nick chooses twelve women for the first group date at ascona mansion where they take wedding photos for different themed weddings with photographer franco lacosta. corinne, chosen for the beach wedding, strips her top off in a pool and ends up winning the opportunity to take a wedding photo with nick. she later receives the rose at the end of the date. danielle m. gets the first one-on-one date of the season, and she and nick take a helicopter ride to a houseboat near newport beach. they spend time in a hot tub and end up at dinner at balboa island. nick decides to give her the date rose. six women embark on the second group date where they act out a ""breakup"" scene at the museum of broken relationships in hollywood. liz reveals the secret that she met nick prior to this season and that they had slept together at a wedding. the ensuing dramatic interaction leads nick to send her home. the episode ends with a cliffhanger.",1483938000,bachelor,23
2,208,3,"""week 3: the backstreet boys""","january 16, 2017 (2017-01-16)",7.11,"
at the cocktail party from the previous week, corinne is seen wearing only a trench coat and holding a whip cream can. she ends up missing the rose ceremony because she oversleeps. in the end, elizabeth, hailey and lacey are eliminated. seven women begin the first group date of the week with the backstreet boys, who surprise them at the mansion. the women and nick rehearse with them for their show that night. danielle l. is chosen to be serenaded in a private moment with nick and he ultimately gives her a rose. vanessa gets to go on the one-on-one date, where she and nick take a zero g flight simulator inside the airplane. despite getting motion sick and vomiting, she receives a rose. for the second the group date, seven women take part in a ""nickathalon"" with carl lewis, michelle carter and allyson felix. astrid wins the competition and, as a reward, gets to spend one-on-one time with nick. dominique feels depressed and nick ultimately sends her home. rachel gets the rose at the end of the date. at a pool party, at the mansion, nick and corinne play in a bouncy house and get intimate. the other women are not happy to see their obvious displays of affection and animosity toward corinne grows.",1484542800,bachelor,23
3,209,4,"""week 4: nick's hometown""","january 23, 2017 (2017-01-23)",7.32,"
after breaking their silence about corinne, women prepare for the rose ceremony. brittany and christen are eliminated. the remaining fifteen women travel to wisconsin. nick has the opportunity to chat with his parents at home in waukesha. danielle l. has the first one-on-one and they take a stroll around nick's hometown and even run into his ex. she receives the rose and they go to pabst theater where chris lane performs. thirteen women are chosen for the group date where they get to work on a farm. corinne resists the dirty nature of the work and does not embrace the activity, earning her the distaste of the other women. in the end, kristina gets the date rose. raven gets the second one-on-one date and meets nick's youngest sister at her soccer game. then they have a roller skating party. she receives the rose. at the cocktail party, taylor and corinne have an argument and taylor accuses corinne of rude behavior. the episode ends with a cliffhanger.",1485147600,bachelor,23
4,210,5,"""week 5: new orleans""","january 30, 2017 (2017-01-30)",7.23,"
concluding from the previous episode, taylor and corinne rage about their confrontation. at the rose ceremony, astrid and sarah are eliminated. the thirteen remaining women travel to new orleans, louisiana. rachel gets the one-on-one date where she and nick go sight-seeing in downtown new orleans she dances with nick into a parade of street dancers and they end up getting a private concert from lolo. she gets the rose. ten women go on this week's group date and travel to houmas house plantation where they encounter ghosts and hold a seance with a ouija board. danielle m. gets the group date rose. taylor and corinne face off for a two-on-one date into the bayou where they meet a group of voodoo worshipers and have a tarot card reading. tensions grow between the two ladies, and nick gives the rose to corinne. taylor is left stranded on the bayou, but makes her way back to nick and corinne, and the episode ends with another cliffhanger.",1485752400,bachelor,23
5,211,6,"""week 6: st. thomas""","february 6, 2017 (2017-02-06)",7.47,"
concluding from the previous episode, taylor comes to see nick, crashing his one-on-one time with corinne. taylor has a bitter conversation with nick and finally leaves for good. at the rose ceremony, alexis, jaimi and josephine are eliminated. the nine remaining ladies move on to saint thomas, u.s. virgin islands. kristina gets the one-on-one date where she and nick ride in a seaplane to abandoned ruins in annaberg in nearby saint john. she receives the rose after telling  nick her adoption story. the six ladies chosen for a group date play volleyball with nick on a sandy white beach. after jasmine g. sharply questions nick about never having had a date of her own and becomes increasingly aggressive. nick sends her home. danielle l. and whitney get the two-on-one date and take a helicopter ride to an uninhabited island at botany bay. whitney is left stranded at the beach, with nick and danielle l. continuing their date at fort christian. in a drastic turn of events, nick sends her home as well, then tearfully confesses to the rest of the women that he feels overwhelmed by the process.",1486357200,bachelor,23
6,212,7,"""week 7: bimini""","february 13, 2017 (2017-02-13)",7.56,"
chris harrison visits nick and asks how he was doing. nick replies that this might not be a good idea for him and that he might just call it quits. however, after a long conversation, nick decides he is ready to continue on with the show. he visits the house and tells the women they are heading to bimini in the bahamas. vanessa gets the one-on-one date which involves diving off the yacht and ends on the abandoned ss sapona ship nearby. corinne, kristina and raven get the group date and ride on a speedboat to go snorkeling. raven gets the rose and she and nick attend a performance by adam friedman outside the villa. danielle m. and nick have a one-on-one date riding a bicycle to the downtown area where they hang out, go shopping and play basketball. nick asks danielle m's about her past relationships. after their conversation, nick tells danielle their chemistry is not there and sends her home. corinne, realizing there are only five women left and four hometown visits coming, goes see nick at his hotel room to have sex with him and secure her final four spot. however, after some fooling around, nick decides it is not a good idea and sends her away devastated. rachel receives a one-on-one date at a local bar. the date is relatively brief, but both parties seem to enjoy themselves. later, nick arrives at the hotel and asks to see kristina. he tells her he doesn't feel like things are going to work out and shockingly sends her home, making her the only eliminated girl this season not eliminated either at a rose ceremony or on a date.",1486962000,bachelor,23
7,213,8,"""week 8: hometowns""","february 20, 2017 (2017-02-20)",7.88,"
after kristina's shocking elimination, the remaining ladies are preparing for the rose ceremony, when nick comes to see them and gives them the roses that mean they are the final four and they get a hometown date. raven's hometown date takes place in hoxie, arkansas and she takes nick to ride an atv through a muddy field and they climb into a silo. however, a police car comes by to investigate, making nick nervous, but it turns out to be raven's brother. then, she receives the good news that her father is cancer-free. the next is rachel's hometown date in dallas, texas where she and nick attend a black church. nick talks about issues frequently faced by interracial couples. corinne's hometown date takes place in miami, florida and she takes nick shopping before he meets her family and her nanny. the last stop is vanessa's hometown date in montreal, quebec and she takes nick to the school where she works. she introduces nick to her mother's side of the family and her siblings, and then separately to her father and his wife. in new york city, the ladies prepare for the upcoming rose ceremony, but a surprise visitor arrives at nick's hotel room. it is revealed to be andi dorfman. the episode ends in cliffhanger.",1487566800,bachelor,23
8,214,9,"""week 9: finland""","february 27, 2017 (2017-02-27)",7.71,"
after andi comes into nick's hotel room, she gives nick some advice. nick prepares for the rose ceremony, where he eliminates corinne, who admits to not knowing anything. nick and the three finalists travel to lapland, finland to start the fantasy suite dates. nick takes raven on a helicopter ride at urho kekkonen national park to sightsee and observe the wildlife and then they play darts in an inn. she accepts the invitation to the fantasy suite.",1488171600,bachelor,23
9,215,10,"""week 9, part 2: finland""","march 6, 2017 (2017-03-06)",7.09,"
after raven accepts the fantasy suite invitation, she and nick chat before she heads back to the hotel. nick takes rachel cross-country skiing and then they take a ride in a sleigh pulled by reindeer. nick and vanessa spend their date plunging into an icy river and then running into a sauna. they also talk frankly in a hot tub. both dates end with the women accepting the fantasy suite invitations. at the rose ceremony, rachel is eliminated.",1488776400,bachelor,23
10,216,11,"""the women tell all""","march 6, 2017 (2017-03-06)",5.77,"
in the women tell all special, eighteen of the twenty-seven contestants return. several of the contestants have spoken their lives. liz takes the hot seat first and she speaks about her life after the show. taylor and corinne are next because of their controversial two-on-one date and taylor apologizes corinne for her behavior. kristina retells her adoption story. nick comes on and answers questions from the ladies. then, new bachelorette rachel makes a brief appearance and nick congratulates her and wishes her luck.",1488776400,bachelor,23
11,217,12,"""season finale: week 10""","march 13, 2017 (2017-03-13)",8.4,"
nick has the opportunity to introduce both raven and vanessa to his family at the lodge in rovaniemi, finland. both women leave positive impressions and feel confident in their relationships with nick. vanessa's final date involves a horseback ride on a snowy road, after which she and nick go to a cabin to meet with santa claus. raven's final date is ice skating on a frozen lake, which brings back memories of her first one-on-one date back in wisconsin. they conclude the night camping and enjoying a bonfire. neil lane comes to the lodge to see nick, who is ready to make his decision. at the final rose ceremony, nick tells raven that their relationship cannot continue and so she is eliminated. when vanessa arrives, nick gets down on one knee, professes his love for her, and proposes. vanessa accepts the proposal.",1489377600,bachelor,23
12,218,13,"""after the final rose""","march 13, 2017 (2017-03-13)",7.85,"
nick sits down to discuss his experience during the final weeks of the show. raven confesses that she did feel heartbroken to have her relationship with nick end. chris asks her to give love another shot on bachelor in paradise and she says she will. vanessa sits down and explains that her relationship with nick became open, stable and truly emotional. she plans to move to america and to establish a charity to support people with learning disabilities. new bachelorette rachel makes her second appearance, excited about being on her own journey and four guys come in to meet for the first time.",1489377600,bachelor,23
0,219,1,"""week 1: season 22 premiere""","january 1, 2018 (2018-01-01)",5.48,"
season 22 begins with arie arrived at the rental bachelor pad home for the tenure of the season, he is then greeted by his friend and season seventeen bachelor sean lowe, his wife catherine and their son samuel. sean offers his advice on being the bachelor and catherine provides parenting tips. the competition commences later in the night as arie greets the women as they arrive at the mansion. tia holds a little wiener to represent the small town she hails from; bri, a sports reporter, tosses arie a catch; valerie gives a ballroom dance; bekah m. rides a 1965 ford mustang up to the mansion; jessica recognizes arie as her father met him a few years ago; becca k. holds a black velvet ring box to give arie a proposal; annaliese wears a mask to recall arie's nickname ""kissing bandit"" and maquel rides an indycar race car, to dismay from the other girls. arie and brittany t. ride miniature cars outside the mansion, kendall sings a song while playing her ukulele, caroline brings a box of pizza to eat a slice, jenna gives arie a foot massage. in the end, arie selects chelsea to receive the first impression rose. at the rose ceremony, ali, amber, bri, brittane j., jessica, lauren j., nysha and olivia are sent home.",1514782800,bachelor,23
1,220,2,"""week 2""","january 8, 2018 (2018-01-08)",5.56,"
becca k. gets the first one-on-one date of the season. she gets to ride a motorcycle with arie and they travel to his home for a tour. there, they get a surprise visit from rachel zoe and becca receives a set of clothes and louboutin heels, plus the gift of a necklace and two pairs of earrings. arie and becca discuss her painful past and arie gives her a rose. krystal also gets a one-on-one date with arie and they fly to his hometown of scottsdale, arizona for a tour of the high school arie attended. they stop by his parents' house where krystal meets arie's parents, including former race car driver arie luyendyk, his younger brother and his sister-in-law. they arrive back in los angeles and visit the bradbury building where krystal shares some of her backstory with arie. in the end, arie gives her a rose and they are given a private concert by connor duermit inside the los angeles theatre. fifteen ladies take part in the first group date: a demolition derby race. annaliese had a traumatic injury on a bumping car as a child, which influences her ability to enjoy the date. chris harrison and race car driver robby gordon present the event. seinne emerges victorious and is declared the winner. after the derby event, arie informs the girls that brittany t. has been sent to hospital due to minor injuries. bibiana starts a dramatic argument with the other ladies and threatens to leave. seinne ends up with the group date rose. at the cocktail party, brittany receives the ""most hardcore"" certificate award. bibiana's drama continues when she interrupts lauren b. and krystal as they compete to spend time one-on-one with arie. in the rose ceremony, jenny, lauren g. and valerie are eliminated.",1515387600,bachelor,23
2,221,3,"""week 3""","january 15, 2018 (2018-01-15)",6.61,"
eight ladies go on a group date to take part in a wrestling event, dubbing themselves the ""gorgeous ladies of bachelor"". angelina altishin and ursula hayden of gorgeous ladies of wrestling train them. tia and bibiana feel overwhelmed by the training and arie comforts tia. they divide into four teams of two. arie opens the event by wrestling with professional wrestler and former the bachelorette contestant kenny king. they spend the night at caravan outpost in ojai. bibiana discusses krystal's irritating behavior with arie. bekah m. gets the group date rose, despite krystal thinking she has the strongest connection with him. lauren s. gets the one-on-one date of the week. arie meets her and they fly to napa valley. they spend time inside the winery, but arie decides they lack romantic chemistry and lauren s. is sent home. seven ladies take part in a group date at a park, where arie introduces them to his dog, bastian. the women play with dogs and train them to perform tricks for a show. annaliese had several traumatic instances with dogs in her childhood, which causes her to be nervous. the women have to perform the show at the grove. chris harrison and fred willard present the event, which they call ""arie's amazing acrodogs"". chelsea gets the group date rose. at the cocktail party, bibiana sets up a daybed outdoors with a telescope, though lauren b. was the first one to discover the place before bibiana claimed the spot. tia presents moonshine to arie. annaliese and arie decide they do not have mutual attraction or a future connection and she is eliminated before the ceremony. at the rose ceremony, bibiana is eliminated.",1515992400,bachelor,23
3,222,4,"""week 4""","january 22, 2018 (2018-01-22)",6.38,"
chris harrison tells the ladies they are traveling to south lake tahoe, california to meet up with arie. seinne gets the one-on-one date and they take a thrilling parasailing ride on a boat over lake tahoe. they dine at hard rock lake tahoe in stateline, nevada and share their stories with each other. arie gives her a rose, they enjoy a private concert with lanco inside. at the hotel, maquel receives a call from her mother and learns that her grandfather has died. she subsequently leaves the competition. the twelve ladies chosen for a group date head into the wilderness where they meet survival experts mykel and ruth hawke. the women learn three survival skills: drinking urine from a thermos, eating worms and bugs and exploring the vast wilderness with a provided map divided between three teams of four. krystal recalls when she attended a camp. tia ends up receiving the date rose. bekah m. gets the second one-on-one date and she and arie take a horseback ride through the foothills of lake tahoe until they reach a bathtub. bekah finally reveals to arie that she is 22. in the end, arie gives bekah the rose. chris shows up at the hotel and announces that the cocktail party is cancelled. at the rose ceremony, krystal wants to talk with arie before the ceremony begins. in the end, brittany and caroline are eliminated from the competition.",1516597200,bachelor,23
4,223,5,"""week 5""","january 29, 2018 (2018-01-29)",6.36,"
the remaining ladies travel to fort lauderdale, florida, where maquel has returned to rejoin the competition. chelsea gets the one-on-one date with arie on a houseboat and riding on a jet ski. they have dinner at an antique car museum where chelsea confides to arie about her past relationship and her son. arie gives her a rose and they dance to a song by tenille arts backstage. the eleven ladies chosen for a group date go bowling. arie splits the women into two teams, named the spare roses and the pin ups. he reveals that the winning team will go to the after party, while the losers will go back to the hotel. the spare roses win the game, but after arie changes his mind and invites both teams to the after party, krystal begins to show her frustration. they return to the hotel where krystal decides to skip the after party, calling arie a liar. arie visits krystal in her room and confines her to the room after they talk about krystal's hurt feelings. she later changes her mind and joins the others, who confront her separately about her hypocrisy. lauren b. gets the group date rose. tia has a one-on-one date at the everglades, riding a hydro boat with arie and stopping by an old wooden house to eat three delicacies: fried gator, corn and frog legs. after dinner, arie hands the rose to her. the cocktail party takes place at bonnet house where krystal's behavior becomes more irrational, causing others to be upset. at the rose ceremony, ashley, maquel and marikh are eliminated.",1517202000,bachelor,23
5,224,6,"""week 6""","february 5, 2018 (2018-02-05)",6.82,"
the ten ladies travel to paris, france to stop at u by uniworld cruise boat on the seine river. chris harrison announces there will be four dates instead of the regular three. lauren b. gets a one-on-one date with arie, riding a boat and sightseeing around the city including notre-dame de paris. they dine together at le grand véfour and reveal their backstories. arie relates how his ex-girlfriend was pregnant but suffered a miscarriage, and lauren tells him she was previously engaged. arie gives her a rose. the six ladies chosen for a group date take part in a moulin rouge féerie cabaret inside the theater. they learn choreography, with seinne demonstrating her dancing experience. moulin rouge artistic director miss janet announces the best performing lady will receive a rose to perform on stage with arie. at the cocktail party, arie has discussions with each of the ladies to open up their feelings, and bekah m. receives the group date rose.  she and arie start the show for the night, while the rest of the girls sit in the audience. kendall and krystal get the two-on-one date and travel to château de breteuil in yvelines to meet with arie. they race through a hedge maze and krystal finds arie first. krystal confides in arie that kendall is not ready for marriage, and kendall talks to krystal privately about it afterwards. arie then announces the date will continue at a building close to eiffel tower. kendall receives the rose, sending krystal home. arie and kendall kiss at the top of eiffel tower. jacqueline gets a one-on-one date with arie, but their car breaks down. they go into a fashion store, where jacqueline selects a dress to wear. they have lunch at maxim's restaurant and she receives a rose from arie. in the rose ceremony at musée des arts forains that night, chelsea and jenna are eliminated. afterwards, arie announces that the remaining ladies will be traveling to tuscany, italy.",1517806800,bachelor,23
6,225,7,"""week 7""","february 12, 2018 (2018-02-12)",5.94,"
the seven ladies arrive in tuscany and stop in pisa, where chris harrison announces there will be three individual dates, one group date and no rose ceremony. becca k. gets the first one-on-one date and they drive to the town of barga, buying bread and sharing a picnic overlooking the tuscan view. she becomes excited about arie meeting her family on the upcoming hometowns. becca receives a rose. jacqueline expresses increasing doubts and seeks out arie to discuss her future goals about finishing her degree, ultimately deciding to quit the competition. lauren b. has the second one-on-one to the town of lucca with arie, where they ride bicycles on a cobbled streets, eat gelato, and watch children playing football. they dine at villa grabau, when lauren confesses her feelings to arie, who gives her the rose. seinne goes on the next one-on-one date, where she and arie explore the tuscan countryside to meet giulio and his dogs, go hunting for truffles, and are welcomed by his family for lunch. arie does not give a rose to seinne, sending her home. kendall, bekah m. and tia go on the last group date, meeting with arie at villa reale. tia expresses her concerns to arie about bekah's seriousness and youth, leaving bekah upset and receiving consolation from arie. kendall receives the rose, leaving tia and bekah to have dinner on their continuation of the date. tia gets the rose and bekah is eliminated.",1518411600,bachelor,23
7,226,8,"""week 8""","february 19, 2018 (2018-02-19)",6.27,"
kendall's hometown date begins in los angeles where she meets arie and takes him to a taxidermy studio, showing him how to stuff rats. then, kendall brings arie to meet her family. kendall's twin sister kylie voices her concern to arie about relationship issues; the sisters have been talking face-to-face. tia takes arie to her hometown weiner, arkansas, traveling to crowley's ridge raceway near paragould to experience car racing. arie drifts first to take the lead. when arie meets tia's family, her overprotective father talks to arie about his playboy reputation. the next stop is at minneapolis, minnesota to visit becca, where she and arie visit minnetonka orchards to harvest apples and take slingshots, then later make caramelized apples to eat. later that day, arie meets becca's family in prior lake for a family dinner. becca's uncle shares his story to arie, that becca's dad died and her mom is in remission from breast cancer. finally, arie travels to virginia beach, virginia to meet with lauren where they ride horses on a beach, go up the lighthouse and stroll on the pier. she introduces arie to her family, arie suffers an anxiety attack before dinner has started. he tells lauren's father that he previously traveled to iraq to visit the armed forces on a goodwill tour. at the rose ceremony, arie takes kendall aside and asks if she feels ready to be engaged. in the end, tia is eliminated, leaving her crying and heartbroken.",1519016400,bachelor,23
8,227,9,"""the women tell all""","february 25, 2018 (2018-02-25)",4.26,"
eighteen eliminated contestants sit down to face the audience. chris harrison interviews krystal about her harsh irrational attitude and hypocritical behavior. the ladies question her about lying on the bowling date in fort lauderdale, but krystal defends herself instead of offering an apology. she reveals that she lost her voice throughout the season, and that her brother is currently recovering from homelessness. seinne recalls memories from her date with arie in tuscany and says that she is still single. bekah m. expresses frustrations over assumptions about her age and addresses tia about her previous remarks. chris shows a missing persons notice for her, and bekah explains she went to work a marijuana farm weeks after completed filming, but did not have reception for days causing her mother to report her missing, chris calls her mother on his cellphone, and suggests that her daughter may be absent for a few weeks to make an appearance on bachelor in paradise. tia talks about feeling blindsided and chris asks her if she wants to have another chance for love. arie joins chris onstage. caroline calls out arie, saying ""i know what you did. i don't know how you could do that"" with no further explanation given. then, arie reunites with krystal and gives an apology for what happened on the two-on-one date in paris. before the special ends, bloopers and a sneak peek of blockers are shown.",1519534800,bachelor,23
9,228,10,"""week 9""","february 26, 2018 (2018-02-26)",6.57,"
the three ladies head to ica, peru for overnight dates. kendall takes a dune buggy in paracas where she ends up sandboarding to the bottom after the buggy gets stuck on a steep point and sets up a picnic in the desert. lauren takes a plane ride over the nazca lines seeing aerial views of ancient large scale geoglyphs on the ground below. she talks with arie about relationship issues, stating her fears of another heartbreak. becca takes a catamaran ride to a picturesque view of ballestas islands and sees the seals there. all three ladies get the fantasy suites, and arie receives a blessing from each lady the following morning after the overnight date. the next day, becca's ex-boyfriend ross shows up and talks to arie, saying that he is desperate to have becca back and win her heart. ross goes to becca's hotel room asking for a marriage proposal and she says no. at the rose ceremony, arie called kendall and they talk once again, as she is not really ready for marriage without chemistry and physical attraction. arie sends her home before the ceremony.",1519621200,bachelor,23
10,229,11,"""week 10: season finale""","march 5, 2018 (2018-03-05)",7.94,"
lauren and becca have an opportunity to meet with arie's family in a hotel in cusco. both ladies have doubts after hearing a conversation with arie's parents, with arie saying he loves both women. lauren's final date involves riding in a private train from sacred valley, she and arie end at machu picchu with a view nearby. lauren reveals that she met arie before the show while she was living in dallas. becca's final date involves a plaza in downtown cusco, where arie holds an umbrella waiting for her. they go into a marketplace trying to fit traditional poncho dress. they share their story how they first met, reading on a memory book about their potential future together including getting married and having children. at the rose ceremony, lauren is feeling excited to receive a proposal, but arie tells her something is stopping him and she is sent home in tears. when becca arrives, they profess their love and arie kneels an proposes to her. becca accepts.


weeks after filming wrapped up, becca arrives at the safe house in los angeles just as arie is arriving. he immediately announces he wants to call off the engagement. they speak in private and he tells becca he is more in love with lauren than her. arie's goal is to reconcile with lauren and he reveals to becca that he spoke to lauren on new year's day. becca feels frustrated, confused, angry and heartbroken, sobbing on the bathroom floor. she finally asks arie to leave the house, which he eventually does. in a live interview, becca reveals that she hasn't spoken to arie since that day.",1520226000,bachelor,23
11,230,12,"""after the final rose""","march 6, 2018 (2018-03-06)",7.77,"
after the shocking breakup, arie and becca go their separate ways. becca heads back to minneapolis and cries while watching a video about her time with arie. arie later travels to virginia beach to see lauren at her parents house where he suffers an anxiety attack. then, arie makes a confession to lauren explaining what happened at the final rose ceremony. becca confesses that she has felt depressed and struggled to find love. chris shows billboards that have been seen nationwide, but they are digitally photoshopped. she later receives a reward of us$6,000 for american association for cancer research. she has seen arie since the breakup and accepted his apology. season thirteen bachelor jason mesnick and his wife molly are on the hot seat and discuss arie's relationship with lauren. lauren explains how on new year's eve, arie liked one of her photos on instagram, then the following night, contacted her on the day of the premiere. arie reveals that lauren would move to arizona to be with him, he then proposes to lauren on one knee, asking for his mistakes to be forgotten, and lauren accepts the proposal. the announcement for next bachelorette is made: chris names becca as the next lead and she quickly begins her journey, meeting five guys for the first time.",1520312400,bachelor,23
0,231,1,"""week 1: season 23 premiere""","january 7, 2019 (2019-01-07)",5.13,"
season 23 begins with colton and chris harrison discussing people's mixed reactions to him becoming the next bachelor. later that night, colton's journey begins as thirty single ladies arrive at the mansion. demi steps out of the limo first and mentions she hasn't dated a virgin since she was twelve; caelynn wears a miss underwood sash; cassie brings a box of fake butterflies; caitlin pops a balloon to represent popping colton's cherry; katie makes a joke about taking colton's v-card; alex d. dresses up as a sloth; tracy arrives in a police car; nicole, revian and nina speak in spanish, mandarin and croatian, respectively; bri fakes an australian accent to stand out; hannah g. presents colton with an empty box to represent him often not wearing underwear; catherine brings her dog lucy for colton to look after, and erin arrives in a horse drawn carriage. once they are all inside, demi steals colton for the first one-on-one conversation of the night. sydney, an nba dancer has quit her job, teaches colton how to dance. elyse takes colton fishing in the swimming pool as she is from alaska, and tayshia takes colton to 'tayshia land', where small carnival games are set up. throughout the course of the night, catherine manages to steal colton four times from other women, leading onyeka to confront her. after much thought, colton gives his first impression rose to hannah g. at the rose ceremony, alex d., devin, erin, jane, laura, revian and tahzjuan were sent home.",1546837200,bachelor,23
1,232,2,"""week 2""","january 14, 2019 (2019-01-14)",5.64,"
eight women are chosen for the first group date, where they join colton at the regent theater. hosted by megan mullally and nick offerman, the ladies are to perform a comedy on a rememberable ""first"" experience they've had. colton shares the story of the first time he admitted he was a virgin to a teammate, while demi stole the spotlight by kissing colton in front of the other women. at the after party, demi continued to rub a few women the wrong way when she picked up and played with the group date rose, but in the end, elyse receives the group date rose. hannah b. gets the first one-on-one date for the season on the day of her birthday. she and colton travel to vasquez rocks, where they ride horses until they reach a hot tub. throughout the date, colton questions whether he's made the right choice with hannah as they have many awkward moments on the date. especially, when hannah b is enable to make a toast. later that night, they dine on the deck of the rms queen mary where hannah opens up to colton about the pressure she puts on herself to be perfect, and in return, colton gives her a rose. for the second group date, twelve women attend ""camp bachelor"", where they are split into two teams of six to compete for an overnight with colton. colton himself along with chris harrison and billy eichner host the event. the red team emerges victorious after they win the deciding round of tug-of-war. during the overnight, heather reveals to colton that she too is a virgin, but that she has also never kissed anyone. due to her admission, heather receives the group date rose. at the cocktail party, demi interrupts colton's conversation with tracy by wearing a bathrobe and taking him upstairs to her ""fantasy closet"", where she gives him a massage. at the rose ceremony, alex b., angelique, annie and erika were eliminated.",1547442000,bachelor,23
2,233,3,"""week 3""","january 21, 2019 (2019-01-21)",5.95,"
chris harrison drops by the mansion to see how they women have settled into bachelor life, before dropping off the first group date card. the eight women selected for the date meet colton at pirate's dinner adventure, where they learn to be pirates. after their pirate training, tracy and caelynn are chosen to compete against each other to save colton, who is tied against a pole. caelynn manages to reach colton first and rescues him. at the after party, demi and tracy continue their bickering from last week, before demi blindfolds colton during their one-on-one time and spanks him with a paddle. hannah b. tells colton that she and caelynn used to be friends while competing for miss usa 2018, but due to a fallout, they are no longer friends. colton pulls caelynn aside and caelynn lets him know that there's things she's wanted him to know, but she was waiting for the right time in their relationship to tell him. from their conversation, caelynn receives the group date rose. elyse goes on the one-on-one date for the week, where she and colton travel via helicopter to belmont park in san diego. colton turns their date into a group date, by inviting a group of children with cystic fibrosis to hang out with them for the day. during the night portion of their date, elyse opens up about the death of her sister. colton gives elyse a rose, before they go watch tenille arts perform. the second group date sees eight women compete in a series of events to see who can become the bachelor's strongest woman. terry crews and his wife rebecca host the competition, while chris harrison and fred willard provide commentary. onyeka is crowned the bachelor's strongest woman. at the after party, colton sends caitlin home after failing to find a connection with her. nicole receives the group date rose. the cocktail party is replaced by a pool party, where colton continues to deal with caelynn and hannah b's resentment for one another. at the rose ceremony, bri, catherine and nina were eliminated.",1548046800,bachelor,23
